task,layer,attn_audio_frac,uniform_frac,view,step
key_id,2.0,0.052073160807291664,0.6076133287877213,by_layer,
key_id,3.0,0.012941996256510416,0.6076133287877213,by_layer,
key_id,4.0,0.050099690755208336,0.6076133287877213,by_layer,
key_id,5.0,0.0279541015625,0.6076133287877213,by_layer,
key_id,6.0,0.07267252604166667,0.6076133287877213,by_layer,
key_id,7.0,0.040903727213541664,0.6076133287877213,by_layer,
key_id,8.0,0.0187835693359375,0.6076133287877213,by_layer,
key_id,9.0,0.032470703125,0.6076133287877213,by_layer,
key_id,10.0,0.0267333984375,0.6076133287877213,by_layer,
key_id,11.0,0.027130126953125,0.6076133287877213,by_layer,
key_id,12.0,0.030731201171875,0.6076133287877213,by_layer,
key_id,13.0,0.03936767578125,0.6076133287877213,by_layer,
key_id,14.0,0.047607421875,0.6076133287877213,by_layer,
key_id,15.0,0.060160319010416664,0.6076133287877213,by_layer,
key_id,16.0,0.028203328450520832,0.6076133287877213,by_layer,
key_id,17.0,0.028539021809895832,0.6076133287877213,by_layer,
key_id,18.0,0.034423828125,0.6076133287877213,by_layer,
key_id,19.0,0.031951904296875,0.6076133287877213,by_layer,
key_id,20.0,0.029622395833333332,0.6076133287877213,by_layer,
key_id,21.0,0.0247344970703125,0.6076133287877213,by_layer,
key_id,22.0,0.03582763671875,0.6076133287877213,by_layer,
key_id,23.0,0.035909016927083336,0.6076133287877213,by_layer,
key_id,24.0,0.031611124674479164,0.6076133287877213,by_layer,
key_id,25.0,0.031707763671875,0.6076133287877213,by_layer,
key_id,26.0,0.049367268880208336,0.6076133287877213,by_layer,
key_id,27.0,0.0323486328125,0.6076133287877213,by_layer,
key_id,28.0,0.0237884521484375,0.6076133287877213,by_layer,
key_id,29.0,0.027432759602864582,0.6076133287877213,by_layer,
key_id,30.0,0.0357818603515625,0.6076133287877213,by_layer,
key_id,31.0,0.036956787109375,0.6076133287877213,by_layer,
key_id,32.0,0.0238800048828125,0.6076133287877213,by_layer,
